gid,gap,observation,next_request
100000005075949100,обрыв 4-го колена,"получил 2.2 млн, P(ушли дальше)=0.59",Выгрузить исходящие переводы (5-е колено)
100000001053894100,обрыв 4-го колена,"получил 2.0 млн, P(ушли дальше)=0.81",Выгрузить исходящие переводы (5-е колено)
100000008175078100,обрыв 4-го колена,"получил 1.8 млн, P(ушли дальше)=0.88",Выгрузить исходящие переводы (5-е колено)
100000004586598100,обрыв 4-го колена,"получил 761 тыс., P(ушли дальше)=0.57",Выгрузить исходящие переводы (5-е колено)
100000003037476100,обрыв 4-го колена,"получил 555 тыс., P(ушли дальше)=0.52",Выгрузить исходящие переводы (5-е колено)
100000006232642100,обрыв 4-го колена,"получил 456 тыс., P(ушли дальше)=0.58",Выгрузить исходящие переводы (5-е колено)
100000003985389100,обрыв 4-го колена,"получил 423 тыс., P(ушли дальше)=0.99",Выгрузить исходящие переводы (5-е колено)
100000001222245100,обрыв 4-го колена,"получил 420 тыс., P(ушли дальше)=0.68",Выгрузить исходящие переводы (5-е колено)
100000003025903100,обрыв 4-го колена,"получил 386 тыс., P(ушли дальше)=0.77",Выгрузить исходящие переводы (5-е колено)
100000001471706100,обрыв 4-го колена,"получил 377 тыс., P(ушли дальше)=0.84",Выгрузить исходящие переводы (5-е колено)
100000003989033100,обрыв 4-го колена,"получил 373 тыс., P(ушли дальше)=0.97",Выгрузить исходящие переводы (5-е колено)
100000008675322100,обрыв 4-го колена,"получил 340 тыс., P(ушли дальше)=0.59",Выгрузить исходящие переводы (5-е колено)
100000008722541100,обрыв 4-го колена,"получил 280 тыс., P(ушли дальше)=0.60",Выгрузить исходящие переводы (5-е колено)
100000002860934100,обрыв 4-го колена,"получил 280 тыс., P(ушли дальше)=0.60",Выгрузить исходящие переводы (5-е колено)
100000008469048100,обрыв 4-го колена,"получил 265 тыс., P(ушли дальше)=0.78",Выгрузить исходящие переводы (5-е колено)
100000008165763100,источник вне выборки,отдал 1.3 млн при входе 1.2 млн,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000003115284100,источник вне выборки,отдал 517 тыс. при входе 2.2 млн,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000004015047100,источник вне выборки,отдал 69 тыс. при входе 919 тыс.,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000008603629100,источник вне выборки,отдал 5.0 млн при входе 1.8 млн,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000000437046100,источник вне выборки,отдал 7.6 млн при входе 1.1 млн,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000008477350100,источник вне выборки,отдал 3.4 млн при входе 610 тыс.,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000008710791100,источник вне выборки,отдал 5.5 млн при входе 182 тыс.,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000008489922100,источник вне выборки,отдал 3.8 млн при входе 262 тыс.,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000000331309100,источник вне выборки,отдал 23.0 млн при входе 985 тыс.,Выгрузить ВСЕ входящие переводы клиента за период (не только от графа)
100000001616816100,возможное дробление,6 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000003016635100,возможное дробление,23 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000008244300100,возможное дробление,5 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000003886323100,возможное дробление,5 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
100000005546031100,возможное дробление,4 входящих в диапазоне 5–10 тыс.,Запросить транзакции < 5 000 KZT (ниже порога выгрузки)
