gid,role,role_score,cluster_id,priority_score,evidence,is_seed,depth,component,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,fan_ratio,seed_reach,merge_gain,n_agg_payers,n_seed_payers,seed_traced_in_kzt,pagerank,hub,authority,betweenness,truncated_by_depth,p_continue,terminal_kind,fast_out_share,median_lag_days,max_payers_same_day,near_threshold_tx,flag_structuring,n_cycles,anomaly_z,anomaly_feature,flag_anomaly,coord_criteria,prio_role,prio_traced,prio_merge,prio_reach,prio_pr,prio_btw,prio_flags
100000000343175100,consolidator,0.695,12,0.5394,Получает от 8 плательщиков (1 seed) 179 тыс.; передаёт дальше 2238%; сходятся потоки 7 seed (seed: входящие занижены) [сквозной пропуск ≤2дн; аномалия для колена],True,0,0,8,31,178712.0,4000039.0,14,33,22.382598818210305,3.875,7,0,8,1,78033.54169062535,0.0007132581979384031,0.006589397755091354,0.000289330672528309,0.0010946926090299827,False,,,1.0,0.0,2.0,4,False,0,20.23,out_deg,True,,0.1564,0.1795,0.0,0.0799,0.0914,0.094,0.0333
100000000456947100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,16,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000000580561100,peripheral,0.6,34,0.2394,"Вход 28 тыс. от 2, выход 1.5 млн на 3; пороги ролей не достигнуты (seed: входящие занижены) [возвратный поток]",True,0,4,2,3,27980.0,1488077.0,3,13,53.183595425303785,1.5,0,0,0,0,18188.876905041034,0.0008349888856684632,-5.288314858042623e-20,-3.07146188505863e-19,1.1888811083225246e-06,False,,,0.5712070007130008,4.0,1.0,2,False,2,1.7,log_in,False,,0.015,0.1468,0.0,0.0,0.0933,0.0098,0.0167
100000001415126100,peripheral,0.658,10,0.2419,"Вход 27 тыс. от 1, выход 0 на 0; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,1,0,27000.0,0.0,1,0,0.0,0.0,7,0,1,0,5036.305219051012,0.0004096189054308039,-0.0,2.8874364319304787e-07,0.0,False,,,0.0,,1.0,0,False,0,2.14,log_out,False,,0.0165,0.1168,0.0,0.0799,0.0714,0.0,0.0
100000001429930100,peripheral,0.673,21,0.1942,"Вход 26 тыс. от 1, выход 0 на 0; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,1,0,26000.0,0.0,1,0,0.0,0.0,7,0,1,0,360.59223383630336,0.000350797891474077,-0.0,4.259946144332747e-08,0.0,False,,,0.0,,1.0,0,False,0,2.14,log_out,False,,0.0168,0.0689,0.0,0.0799,0.0628,0.0,0.0
100000001616816100,consolidator,0.477,6,0.5431,Получает от 5 плательщиков (0 seed) 176 тыс.; передаёт дальше 103%; сходятся потоки 10 seed (seed: входящие занижены) [дробление у порога: 6 перев.; возвратный поток],True,0,0,5,3,176195.0,181326.0,12,10,1.0291211441868384,0.6,10,0,4,0,83490.98198156028,0.0024346571906844494,2.187037232152703e-05,4.7490014961563917e-07,0.00010470096527690845,False,,,0.6939214453525694,0.5,1.0,6,True,2,2.01,log_in,False,,0.1073,0.1801,0.0,0.1441,0.0994,0.0748,0.0333
100000001732159100,peripheral,0.05,4,0.4331,"Вход 2.4 млн от 2, выход 1.5 млн на 4; пороги ролей не достигнуты (seed: входящие занижены) [сквозной пропуск ≤2дн; возвратный поток]",True,0,0,2,4,2378100.0,1505966.0,30,23,0.633264370716118,2.0,9,0,2,2,2378100.0,0.001095056787299681,5.3401858075809394e-05,7.699492624920539e-07,2.027094433598164e-05,False,,,0.9144735007297642,1.0,2.0,0,False,4,2.44,log_in,False,,0.0013,0.2,0.0,0.1361,0.0957,0.0431,0.0333
100000002527114100,distributor,0.994,5,0.4882,Рассылает на 111 получателей 3.3 млн (веер 37:1); плательщиков 3 (seed: входящие занижены) [возвратный поток; аномалия для колена],True,0,1,3,111,129000.0,3289249.0,4,113,25.49805426356589,37.0,0,0,0,0,40704.86036516865,0.0008111056953132608,1.8842108730474467e-15,5.3687486179136235e-19,0.00019339132695379732,False,,,0.4463742331456208,4.0,1.0,1,False,3,74.19,out_deg,True,,0.1988,0.1656,0.0,0.0,0.0931,0.0835,0.0333
100000002916006100,peripheral,0.9,10,0.0199,"Вход 0 от 0, выход 32 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,0,0,1,0.0,32000.0,0,1,,1.0,0,0,0,0,0.0,0.0002855692942172902,-8.159497815986948e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.09,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000003016635100,consolidator,0.683,3,0.5319,Получает от 8 плательщиков (0 seed) 587 тыс.; передаёт дальше 1604%; сходятся потоки 6 seed (seed: входящие занижены),True,0,0,8,73,586981.0,9414081.0,36,151,16.038135817002594,9.125,6,0,8,0,117241.70467513504,0.001189636334387764,0.01584259496705479,1.2490791051079161e-05,0.007215469082446287,False,,,0.9350810769527053,0.0,3.0,23,True,19,48.56,out_deg,True,,0.1537,0.1849,0.0,0.0412,0.0963,0.0998,0.05
100000003200071100,peripheral,0.9,44,0.0199,"Вход 0 от 0, выход 30 тыс. на 1; пороги ролей не достигнуты (seed: входящие занижены)",True,0,14,0,1,0.0,30000.0,0,1,,1.0,0,0,0,0,0.0,0.0002855692942172902,2.8478587322172414e-20,-0.0,0.0,False,,,0.0,,0.0,0,False,0,0.1,log_out,False,,0.0225,0.0,0.0,0.0,0.001,0.0,0.0
100000003265658100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,17,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000003349739100,peripheral,0.95,0,0.021,Нет переводов ≥5 000 KZT внутри банка в выгрузке; признаков роли нет,True,0,18,0,0,0.0,0.0,0,0,,0.0,0,0,0,0,0.0,0.0002855692942172902,-0.0,-0.0,0.0,False,,,0.0,,0.0,0,False,0,2.14,log_out,False,,0.0238,0.0,0.0,0.0,0.001,0.0,0.0
100000003684369100,coordinator,0.69,8,0.6394,"Сходятся деньги 9 seed, вход 3.8 млн; собирает и рассылает одновременно [сквозной пропуск ≤2дн; 6 плательщ. в 1 день; возвратный поток; аномалия для колена]",True,0,0,24,62,3848436.0,8588655.0,58,67,2.2317260830113845,2.5833333333333335,9,0,22,1,502136.2336161654,0.002020291208486861,0.02474616365992354,0.0013537174513606279,0.0023030748381841454,False,,,1.0,0.0,6.0,0,False,1,41.14,out_deg,True,собирает и рассылает одновременно,0.1725,0.1977,0.0,0.1361,0.0988,0.0972,0.05
